effects,name,pageUrl
Happy; Relaxed; Euphoric; Giggly; Talkative,Bubba Tom Hayes,https://www.leafly.com/hybrid/bubba-tom-hayes
Happy; Relaxed; Euphoric; Uplifted; Creative,Bubble Gum,https://www.leafly.com/hybrid/bubble-gum
Happy; Euphoric; Uplifted; Relaxed; Creative,Bubbleberry,https://www.leafly.com/hybrid/bubbleberry
Happy; Relaxed; Hungry; Focused; Dry Mouth,Bubblegun,https://www.leafly.com/hybrid/bubblegun
Euphoric; Relaxed; Happy; Energetic; Creative,Bubblicious,https://www.leafly.com/hybrid/bubblicious
Energetic; Happy; Anxious; Creative; Euphoric,Buddha's Hand,https://www.leafly.com/hybrid/buddhas-hand
Happy; Relaxed; Sleepy; Hungry; Euphoric,Bugatti OG,https://www.leafly.com/hybrid/bugatti-og
Relaxed; Euphoric; Happy; Uplifted; Hungry,Burmese Kush,https://www.leafly.com/hybrid/burmese-kush
Relaxed; Sleepy; Aroused; Hungry; Talkative,C3PO,https://www.leafly.com/hybrid/c3po
Relaxed; Euphoric; Happy; Uplifted; Focused,C4,https://www.leafly.com/hybrid/c4
Happy; Relaxed; Focused; Sleepy; Uplifted,CBD Kush,https://www.leafly.com/hybrid/cbd-kush
Relaxed; Energetic; Euphoric; Happy; Creative,Cabbage Patch,https://www.leafly.com/hybrid/cabbage-patch
Creative; Euphoric; Happy; Dry Eyes; Energetic,Cactus Cooler,https://www.leafly.com/hybrid/cactus-cooler
Happy; Euphoric; Relaxed; Hungry; Uplifted,Cali Gold,https://www.leafly.com/hybrid/cali-gold
Relaxed; Uplifted; Happy; Hungry; Sleepy,Cali Kush,https://www.leafly.com/hybrid/cali-kush
Happy; Uplifted; Euphoric; Relaxed; Energetic,California Orange,https://www.leafly.com/hybrid/california-orange
Relaxed; Dry Mouth; Energetic; Happy; Euphoric,California Sour,https://www.leafly.com/hybrid/california-sour
Relaxed; Happy; Uplifted; Focused; Sleepy,Canna-Tsu,https://www.leafly.com/hybrid/canna-tsu
Happy; Relaxed; Euphoric; Uplifted; Creative,Cannadential,https://www.leafly.com/hybrid/cannadential
Happy; Euphoric; Relaxed; Uplifted; Energetic,Cannalope Kush,https://www.leafly.com/hybrid/cannalope-kush
Relaxed; Happy; Focused; Uplifted; Euphoric,Cannatonic,https://www.leafly.com/hybrid/cannatonic
Happy; Euphoric; Creative; Relaxed; Uplifted,Caramel Candy Kush,https://www.leafly.com/hybrid/caramel-candy-kush
Happy; Relaxed; Hungry; Euphoric; Focused,Caramelicious,https://www.leafly.com/hybrid/caramelicious
Energetic; Euphoric; Dizzy; Giggly; Hungry,Carl Sagan,https://www.leafly.com/hybrid/carl-sagan
Relaxed; Happy; Giggly; Sleepy; Euphoric,Cataract Kush,https://www.leafly.com/hybrid/cataract-kush
Happy; Euphoric; Uplifted; Relaxed; Creative,Champagne Kush,https://www.leafly.com/hybrid/champagne-kush
Happy; Relaxed; Euphoric; Uplifted; Energetic,Charlie Sheen,https://www.leafly.com/hybrid/charlie-sheen
Relaxed; Happy; Euphoric; Uplifted; Hungry,Cheese,https://www.leafly.com/hybrid/cheese
Relaxed; Euphoric; Happy; Hungry; Sleepy,Cheese Candy,https://www.leafly.com/hybrid/cheese-candy
Relaxed; Happy; Euphoric; Hungry; Uplifted,Cheese Quake,https://www.leafly.com/hybrid/cheese-quake
Happy; Sleepy; Euphoric; Relaxed; Giggly,Cheesewreck,https://www.leafly.com/hybrid/cheesewreck
Talkative; Euphoric; Creative; Focused; Happy,Chem Crush,https://www.leafly.com/hybrid/chem-crush
Happy; Euphoric; Energetic; Dry Mouth; Hungry,Chem Valley Kush,https://www.leafly.com/hybrid/chem-valley-kush
Happy; Relaxed; Creative; Energetic; Uplifted,ChemWreck,https://www.leafly.com/hybrid/chemwreck
Happy; Relaxed; Uplifted; Euphoric; Energetic,Chemdawg,https://www.leafly.com/hybrid/chemdawg
Relaxed; Euphoric; Happy; Uplifted; Hungry,Chemdawg 4,https://www.leafly.com/hybrid/chemdawg-4
Relaxed; Happy; Euphoric; Uplifted; Creative,Chemdawg 91,https://www.leafly.com/hybrid/chemdawg-91
Happy; Uplifted; Energetic; Creative; Relaxed,Chemdawg Sour Diesel,https://www.leafly.com/hybrid/chemdawg-sour-diesel
Happy; Relaxed; Uplifted; Euphoric; Hungry,Chemmy Jones,https://www.leafly.com/hybrid/chemmy-jones
Euphoric; Happy; Uplifted; Relaxed; Creative,Chernobyl,https://www.leafly.com/hybrid/chernobyl
Uplifted; Euphoric; Happy; Relaxed; Focused,Cherry AK-47,https://www.leafly.com/hybrid/cherry-ak-47
Happy; Relaxed; Uplifted; Focused; Energetic,Cherry Bomb,https://www.leafly.com/hybrid/cherry-bomb
Euphoric; Relaxed; Happy; Hungry; Uplifted,Cherry Diesel,https://www.leafly.com/hybrid/cherry-diesel
Creative; Euphoric; Happy; Uplifted; Focused,Cherry Durban Poison,https://www.leafly.com/hybrid/cherry-durban-poison
Creative; Focused; Happy; Relaxed,Cherry Grapefruit,https://www.leafly.com/hybrid/cherry-grapefruit
Happy; Euphoric; Relaxed; Uplifted; Focused,Cherry Kush,https://www.leafly.com/hybrid/cherry-kush
Uplifted; Euphoric; Happy; Creative; Relaxed,Cherry Limeade,https://www.leafly.com/hybrid/cherry-limeade
