medical,name,pageUrl
Cramps; Depression; Muscle Spasms; Pain; Stress,Buddha's Hand,https://www.leafly.com/hybrid/buddhas-hand
Pain; Stress; Cramps; Muscle Spasms; Nausea,Bugatti OG,https://www.leafly.com/hybrid/bugatti-og
Insomnia; Pain; Stress; Depression; Lack of Appetite,Burmese Kush,https://www.leafly.com/hybrid/burmese-kush
Insomnia; Stress; Fatigue; Headaches; Inflammation,C3PO,https://www.leafly.com/hybrid/c3po
Stress; Pain; Insomnia; Depression; Headaches,C4,https://www.leafly.com/hybrid/c4
Inflammation; Pain; Stress; Depression; Headaches,CBD Kush,https://www.leafly.com/hybrid/cbd-kush
Fatigue; Stress; Muscle Spasms; Eye Pressure; Headaches,Cabbage Patch,https://www.leafly.com/hybrid/cabbage-patch
Headaches; Pain; Stress; Fatigue; Muscle Spasms,Cactus Cooler,https://www.leafly.com/hybrid/cactus-cooler
Pain; Depression; Stress; Insomnia; Inflammation,Cali Gold,https://www.leafly.com/hybrid/cali-gold
Stress; Depression; Pain; Lack of Appetite; Insomnia,Cali Kush,https://www.leafly.com/hybrid/cali-kush
Stress; Depression; Headaches; Pain; Muscle Spasms,California Orange,https://www.leafly.com/hybrid/california-orange
Depression; Stress; Insomnia; Pain; Fatigue,California Sour,https://www.leafly.com/hybrid/california-sour
Pain; Stress; Headaches; Inflammation; Depression,Canna-Tsu,https://www.leafly.com/hybrid/canna-tsu
Pain; Stress; Depression; Muscle Spasms; Fatigue,Cannadential,https://www.leafly.com/hybrid/cannadential
Depression; Stress; Pain; Nausea; Fatigue,Cannalope Kush,https://www.leafly.com/hybrid/cannalope-kush
Pain; Stress; Inflammation; Depression; Insomnia,Cannatonic,https://www.leafly.com/hybrid/cannatonic
Lack of Appetite; Stress; Insomnia; Pain; Nausea,Caramel Candy Kush,https://www.leafly.com/hybrid/caramel-candy-kush
Stress; Depression; Eye Pressure; Pain; Lack of Appetite,Caramelicious,https://www.leafly.com/hybrid/caramelicious
Fatigue; Stress; Depression; Muscle Spasms; Pain,Carl Sagan,https://www.leafly.com/hybrid/carl-sagan
Stress; Pain; Nausea; Insomnia; Lack of Appetite,Cataract Kush,https://www.leafly.com/hybrid/cataract-kush
Stress; Pain; Depression; Nausea; Lack of Appetite,Champagne Kush,https://www.leafly.com/hybrid/champagne-kush
Pain; Stress; Insomnia; Depression; Fatigue,Charlie Sheen,https://www.leafly.com/hybrid/charlie-sheen
Stress; Pain; Insomnia; Depression; Fatigue,Cheese,https://www.leafly.com/hybrid/cheese
Depression; Pain; Insomnia; Stress; Lack of Appetite,Cheese Candy,https://www.leafly.com/hybrid/cheese-candy
Stress; Pain; Insomnia; Depression; Lack of Appetite,Cheese Quake,https://www.leafly.com/hybrid/cheese-quake
Pain; Insomnia; Stress; Depression; Lack of Appetite,Cheesewreck,https://www.leafly.com/hybrid/cheesewreck
,Chem Crush,https://www.leafly.com/hybrid/chem-crush
Stress; Depression; Pain; Insomnia; Lack of Appetite,Chem Valley Kush,https://www.leafly.com/hybrid/chem-valley-kush
Fatigue; Muscle Spasms; Insomnia; Stress; Cramps,ChemWreck,https://www.leafly.com/hybrid/chemwreck
Stress; Pain; Depression; Insomnia; Lack of Appetite,Chemdawg,https://www.leafly.com/hybrid/chemdawg
Stress; Pain; Depression; Headaches; Lack of Appetite,Chemdawg 4,https://www.leafly.com/hybrid/chemdawg-4
Stress; Pain; Inflammation; Depression; Muscle Spasms,Chemdawg 91,https://www.leafly.com/hybrid/chemdawg-91
Pain; Depression; Fatigue; Muscle Spasms; Nausea,Chemdawg Sour Diesel,https://www.leafly.com/hybrid/chemdawg-sour-diesel
Lack of Appetite; Depression; Insomnia; Inflammation; Eye Pressure,Chemmy Jones,https://www.leafly.com/hybrid/chemmy-jones
Depression; Stress; Pain; Fatigue; Headaches,Chernobyl,https://www.leafly.com/hybrid/chernobyl
Pain; Stress; Depression; Fatigue; Nausea,Cherry AK-47,https://www.leafly.com/hybrid/cherry-ak-47
Stress; Pain; Depression; Lack of Appetite; Fatigue,Cherry Bomb,https://www.leafly.com/hybrid/cherry-bomb
Fatigue; Stress; Depression; Nausea; Lack of Appetite,Cherry Diesel,https://www.leafly.com/hybrid/cherry-diesel
Depression; Pain; Stress; Fatigue; Headaches,Cherry Durban Poison,https://www.leafly.com/hybrid/cherry-durban-poison
,Cherry Grapefruit,https://www.leafly.com/hybrid/cherry-grapefruit
Stress; Pain; Depression; Lack of Appetite; Nausea,Cherry Kush,https://www.leafly.com/hybrid/cherry-kush
Stress; Lack of Appetite; Nausea; Fatigue; Muscle Spasms,Cherry Limeade,https://www.leafly.com/hybrid/cherry-limeade
Stress; Depression; Lack of Appetite; Insomnia; Pain,Cherry OG,https://www.leafly.com/hybrid/cherry-og
Stress; Depression; Pain; Headaches; Nausea,Cherry Pie,https://www.leafly.com/hybrid/cherry-pie
Pain; Depression; Insomnia; Stress; Nausea,Cherry Skunk,https://www.leafly.com/hybrid/cherry-skunk
Stress; Depression; Pain; Headaches; Muscle Spasms,Chiesel,https://www.leafly.com/hybrid/chiesel
Stress; Pain; Depression; Insomnia; Nausea,Chocolope Kush,https://www.leafly.com/hybrid/chocolate-kush
Depression; Stress; Fatigue; Pain; Lack of Appetite,Chong Star,https://www.leafly.com/hybrid/chong-star
Depression; Stress; Pain; Nausea; Insomnia,Chronic,https://www.leafly.com/hybrid/chronic
Depression; Pain; Insomnia; Stress,Chucky's Bride,https://www.leafly.com/hybrid/chuckys-bride
Stress; Depression; Pain; Fatigue; Nausea,Cinderella 99,https://www.leafly.com/hybrid/cinderella-99
Lack of Appetite; Stress; Depression; Pain; Fatigue,Cinderella's Dream,https://www.leafly.com/hybrid/cinderellas-dream
Pain; Headaches; Lack of Appetite; Eye Pressure; Depression,Cindy White,https://www.leafly.com/hybrid/cindy-white
Stress; Pain; Depression; Fatigue; Nausea,Citrix,https://www.leafly.com/hybrid/citrix
Stress; Depression; Insomnia; Nausea; Headaches,Citrus Kush,https://www.leafly.com/hybrid/citrus-kush
Headaches,Cluster Bomb,https://www.leafly.com/hybrid/cluster-bomb
Depression; Stress; Pain; Lack of Appetite; Insomnia,Cold Creek Kush,https://www.leafly.com/hybrid/cold-creek-kush
Pain; Stress; Nausea; Depression; Insomnia,Colorado Chem,https://www.leafly.com/hybrid/colorado-chem
Stress; Pain; Depression; Fatigue; Insomnia,Connie Chung,https://www.leafly.com/hybrid/connie-chung
Pain; Stress; Insomnia; Inflammation; Nausea,Cookie Monster,https://www.leafly.com/hybrid/cookie-monster
Pain; Stress; Depression; Insomnia; Lack of Appetite,Cookie Wreck,https://www.leafly.com/hybrid/cookie-wreck
Stress; Depression; Insomnia; Nausea; Muscle Spasms,Cookies and Cream,https://www.leafly.com/hybrid/cookies-and-cream
Depression; Stress; Pain; Insomnia; Headaches,Cotton Candy Kush,https://www.leafly.com/hybrid/cotton-candy-kush
Stress; Depression; Fatigue; Headaches; Muscle Spasms,Cotton Purple Chem,https://www.leafly.com/hybrid/cotton-purple-chem
Pain; Stress; Depression; Insomnia; Nausea,Crater Lake,https://www.leafly.com/hybrid/crater-lake
Depression; Eye Pressure; Nausea; Pain; Inflammation,Crazy Miss Hyde,https://www.leafly.com/hybrid/crazy-miss-hyde
Pain; Depression; Fatigue; Stress; Insomnia,Crimea Blue,https://www.leafly.com/hybrid/crimea-blue
Depression; Insomnia; Stress; Inflammation; Cramps,Critical 47,https://www.leafly.com/hybrid/critical-47
Insomnia; Stress; Depression; Pain; Nausea,Critical Bilbo,https://www.leafly.com/hybrid/critical-bilbo
Depression; Stress; Headaches; Insomnia; Fatigue,Critical Cheese,https://www.leafly.com/hybrid/critical-cheese
Stress; Pain; Depression; Insomnia; Lack of Appetite,Critical Haze,https://www.leafly.com/hybrid/critical-haze
Stress; Depression; Pain; Fatigue; Headaches,Critical Jack,https://www.leafly.com/hybrid/critical-jack
Stress; Depression; Pain; Nausea; Lack of Appetite,Critical Plus,https://www.leafly.com/hybrid/critical-plus
Pain; Stress; Depression; Insomnia; Muscle Spasms,Critical Skunk,https://www.leafly.com/hybrid/critical-skunk
Stress; Insomnia; Lack of Appetite; Depression; Pain,Critical Widow,https://www.leafly.com/hybrid/critical-widow
Stress; Lack of Appetite; Depression; Headaches; Insomnia,Crunch Berry Kush,https://www.leafly.com/hybrid/crunch-berry-kush
Headaches; Stress; Inflammation; Insomnia; Lack of Appetite,Crypt,https://www.leafly.com/hybrid/crypt
Muscle Spasms,Crystal Gayle,https://www.leafly.com/hybrid/crystal-gayle
Stress; Pain; Headaches; Depression; Nausea,Dairy Queen,https://www.leafly.com/hybrid/dairy-queen
Depression; Pain,Damnesia,https://www.leafly.com/hybrid/damnesia
Pain; Headaches; Cramps; Inflammation; Muscle Spasms,Dancehall,https://www.leafly.com/hybrid/dancehall
Stress; Pain; Insomnia; Depression; Headaches,Dawg's Waltz,https://www.leafly.com/hybrid/dawgs-waltz
Nausea; Stress; Fatigue; Insomnia; Muscle Spasms,Day Tripper,https://www.leafly.com/hybrid/day-tripper
Stress; Depression; Pain; Insomnia; Fatigue,Deadhead OG,https://www.leafly.com/hybrid/deadhead-og
