negatives,name,pageUrl
Dry Mouth; Dizzy; Headache; Dry Eyes; Paranoid,Diesel Duff,https://www.leafly.com/hybrid/diesel-duff
Dry Mouth; Dry Eyes,Dieseltonic,https://www.leafly.com/hybrid/dieseltonic
Dry Mouth,Disney Blue,https://www.leafly.com/hybrid/disney-blue
,Do-Over OG,https://www.leafly.com/hybrid/do-over-og
Anxious; Paranoid,Dog Shit,https://www.leafly.com/hybrid/dog-shit
Dry Mouth; Anxious; Dry Eyes; Dizzy,Dogwalker OG,https://www.leafly.com/hybrid/dogwalker-og
,Donegal,https://www.leafly.com/hybrid/donegal
Dry Mouth; Dry Eyes,Donna OG,https://www.leafly.com/hybrid/donna-og
Dry Mouth; Dry Eyes; Headache; Paranoid; Anxious,Dopium,https://www.leafly.com/hybrid/dopium
Dry Mouth; Headache; Paranoid,Double Barrel OG,https://www.leafly.com/hybrid/double-barrel-og
Dry Mouth; Dry Eyes; Anxious; Dizzy,Double Dream,https://www.leafly.com/hybrid/double-dream
,Double Dutch,https://www.leafly.com/hybrid/double-dutch
Dry Eyes; Dry Mouth,Double Tangie Banana,https://www.leafly.com/hybrid/double-tangie-banana
Dry Mouth; Dizzy; Paranoid; Dry Eyes; Anxious,Dr. Who,https://www.leafly.com/hybrid/dr-who
,Dragon's Breath,https://www.leafly.com/hybrid/dragons-breath
Dry Eyes; Dry Mouth,Dreadlock,https://www.leafly.com/hybrid/dreadlock
,Dream Lotus,https://www.leafly.com/hybrid/dream-lotus
,Dream Police,https://www.leafly.com/hybrid/dream-police
Dry Mouth; Dry Eyes; Anxious; Dizzy; Headache,Dream Queen,https://www.leafly.com/hybrid/dream-queen
Dry Eyes; Dry Mouth; Paranoid,Dream Star,https://www.leafly.com/hybrid/dream-star
,Dreamer’s Glass,https://www.leafly.com/hybrid/dreamers-glass
Dry Mouth; Dry Eyes; Dizzy; Headache,Duke Nukem,https://www.leafly.com/hybrid/duke-nukem
,Durban Berry,https://www.leafly.com/hybrid/durban-berry
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,Durban Cheese,https://www.leafly.com/hybrid/durban-cheese
Dry Eyes; Dry Mouth; Headache,Dutch Queen,https://www.leafly.com/hybrid/dutch-queen
,Dutch Thunder Fuck,https://www.leafly.com/hybrid/dutch-thunder-fuck
Dry Mouth; Dry Eyes; Paranoid; Anxious; Dizzy,Dutch Treat,https://www.leafly.com/hybrid/dutch-treat
,Dutch Treat Haze,https://www.leafly.com/hybrid/dutch-treat-haze
,Early Miss,https://www.leafly.com/hybrid/early-miss
,Early Skunk,https://www.leafly.com/hybrid/early-skunk
