effects,name,pageUrl
,Bhang Tahoe OG,https://www.leafly.com/hybrid/bhang-tahoe-og
,Bhang Trainwreck,https://www.leafly.com/hybrid/bhang-trainwreck
,Bhang White Diesel,https://www.leafly.com/hybrid/bhang-white-diesel
Effects Negatives Creative Happy Talkative Aroused Energetic Anxious,Bhang White Widow,https://www.leafly.com/hybrid/bhang-white-widow
,Bhang WidowMaker,https://www.leafly.com/hybrid/bhang-widowmaker
Effects Headache,Bhang XJ-13,https://www.leafly.com/hybrid/bhang-xj-13
Effects Medical Negatives Creative Energetic Euphoric Giggly Happy Depression Fatigue Insomnia Lack of Appetite Nausea Anxious,Biddy Early,https://www.leafly.com/hybrid/biddy-early
Effects Medical Negatives Relaxed Happy Uplifted Creative Euphoric Stress Pain Depression Insomnia Lack of Appetite Dry Eyes Dry Mouth Dizzy Headache Paranoid,Big Buddha Cheese,https://www.leafly.com/hybrid/big-budda-cheese
Effects Medical Relaxed Euphoric Sleepy Creative Focused Insomnia Lack of Appetite Muscle Spasms Cramps Nausea,Big Sky OG,https://www.leafly.com/hybrid/big-sky-og
Effects Medical Negatives Relaxed Focused Creative Uplifted Euphoric Stress Depression Pain Lack of Appetite Nausea Dry Mouth Dry Eyes Paranoid Headache Anxious,Bio-Diesel,https://www.leafly.com/hybrid/bio-diesel
Effects Medical Negatives Relaxed Euphoric Hungry Happy Creative Pain Stress Insomnia Nausea Fatigue Dry Mouth Dry Eyes Dizzy Headache Paranoid,Bio-Jesus,https://www.leafly.com/hybrid/bio-jesus
Effects Medical Negatives Relaxed Euphoric Happy Uplifted Sleepy Stress Pain Insomnia Headaches Depression Anxious Dry Mouth Dry Eyes,Birthday Cake Kush,https://www.leafly.com/hybrid/birthday-cake-kush
Effects Medical Negatives Euphoric Happy Uplifted Creative Relaxed Stress Depression Pain Inflammation Nausea Dry Eyes Paranoid,Black Betty,https://www.leafly.com/hybrid/black-betty
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Creative Stress Pain Depression Muscle Spasms Headaches Dry Mouth Headache Dry Eyes Dizzy Anxious,Black Cherry Soda,https://www.leafly.com/hybrid/black-cherry-soda
Effects Medical Negatives Relaxed Euphoric Sleepy Uplifted Creative Stress Insomnia Depression Nausea Pain Dizzy Headache Anxious Dry Mouth Dry Eyes,Black Dahlia,https://www.leafly.com/hybrid/black-dhalia
Effects Medical Negatives Euphoric Uplifted Relaxed Happy Creative Pain Stress Depression Headaches Insomnia Dry Eyes Dry Mouth Dizzy Headache Paranoid,Black Haze,https://www.leafly.com/hybrid/black-haze
Effects Medical Negatives Relaxed Happy Uplifted Euphoric Talkative Stress Pain Depression Headaches Insomnia Dry Mouth Dry Eyes Dizzy Paranoid Headache,Black Jack,https://www.leafly.com/hybrid/black-jack
